Time,Event,Score
2026-04-03 10:19:24,Looking Right,1
2026-04-03 10:19:24,Looking Right,2
2026-04-03 10:19:24,Looking Right,3
2026-04-03 10:19:25,Looking Right,4
2026-04-03 10:19:25,Looking Right,5
2026-04-03 10:19:25,Looking Right,6
2026-04-03 10:19:25,Looking Right,7
2026-04-03 10:19:58,Multiple People,10
2026-04-03 10:19:58,Multiple People,13
2026-04-03 10:19:58,Multiple People,16
2026-04-03 10:19:59,Multiple People,19
2026-04-03 10:19:59,Multiple People,22
2026-04-03 10:19:59,Multiple People,25
2026-04-03 10:20:00,Multiple People,28
2026-04-03 10:20:00,Multiple People,31
2026-04-03 10:20:00,Multiple People,34
2026-04-03 19:48:40,Looking Right,1
2026-04-03 19:48:40,Looking Right,2
2026-04-03 19:48:41,Looking Right,3
2026-04-03 19:48:41,Looking Right,4
2026-04-03 19:48:41,Looking Right,5
2026-04-03 19:48:42,Looking Right,6
2026-04-03 19:48:42,Looking Right,7
2026-04-03 19:48:42,Looking Right,8
2026-04-03 19:48:42,Looking Right,9
2026-04-03 19:48:45,Looking Left,10
2026-04-03 19:48:46,Looking Left,11
2026-04-03 19:48:46,Looking Left,12
2026-04-03 19:48:46,Looking Left,13
2026-04-03 19:48:46,Looking Left,14
2026-04-03 19:48:47,Looking Left,15
2026-04-03 19:48:47,Looking Left,16
2026-04-03 19:48:47,Looking Left,17
2026-04-03 19:48:47,Looking Left,18
2026-04-03 19:48:48,Looking Left,19
2026-04-03 19:48:48,Looking Left,20
2026-04-03 19:48:48,Looking Left,21
2026-04-03 20:18:50,Looking Right,16
2026-04-03 20:18:50,Looking Right,17
2026-04-03 20:18:51,Normal,17
2026-04-03 20:18:51,Normal,17
2026-04-03 20:18:51,Normal,17
2026-04-03 20:18:52,Normal,17
2026-04-03 20:18:52,Normal,17
2026-04-03 20:18:52,Normal,17
2026-04-03 20:18:52,Normal,17
2026-04-03 20:18:53,Normal,17
2026-04-03 20:18:53,Normal,17
2026-04-03 20:18:53,Normal,17
2026-04-03 20:18:53,Normal,17
2026-04-03 20:18:54,Normal,17
2026-04-03 20:18:54,Normal,17
2026-04-03 20:18:54,Normal,17
2026-04-03 20:18:55,Normal,17
2026-04-03 20:18:55,Normal,17
2026-04-03 20:18:55,Normal,17
2026-04-03 20:18:55,Normal,17
2026-04-03 20:18:56,Normal,17
2026-04-03 20:18:56,Normal,17
2026-04-03 20:18:56,Normal,17
2026-04-03 20:18:56,Normal,17
2026-04-03 20:18:57,Normal,17
2026-04-03 20:18:57,Normal,17
2026-04-03 20:18:57,Normal,17
2026-04-03 20:18:58,Normal,17
2026-04-03 20:18:58,Normal,17
2026-04-03 20:18:58,Normal,17
2026-04-03 20:18:58,Normal,17
2026-04-03 20:18:59,Normal,17
2026-04-03 20:18:59,Normal,17
2026-04-03 20:18:59,Normal,17
2026-04-03 20:19:00,Normal,17
2026-04-03 20:19:00,Normal,17
2026-04-03 20:19:00,Normal,17
2026-04-03 20:19:00,Normal,17
2026-04-03 20:19:01,Normal,17
2026-04-03 20:19:01,Normal,17
2026-04-03 20:19:01,Normal,17
2026-04-03 20:19:02,Normal,17
2026-04-03 20:19:02,Normal,17
2026-04-03 20:19:02,Normal,17
2026-04-03 20:19:02,Normal,17
2026-04-03 20:19:03,Normal,17
2026-04-03 20:19:03,Normal,17
2026-04-03 20:19:03,Normal,17
2026-04-03 20:19:03,Normal,17
2026-04-03 20:19:04,Normal,17
2026-04-03 20:19:04,Normal,17
2026-04-03 20:19:04,Normal,17
2026-04-03 20:19:05,Normal,17
2026-04-03 20:19:05,Normal,17
2026-04-03 20:19:05,Normal,17
2026-04-03 20:19:05,Normal,17
2026-04-03 20:19:06,Normal,17
2026-04-03 20:19:06,Normal,17
2026-04-03 20:19:06,Normal,17
2026-04-03 20:19:07,Normal,17
2026-04-03 20:19:07,Normal,17
2026-04-03 20:19:07,Normal,17
2026-04-03 20:19:07,Normal,17
2026-04-03 20:19:08,Normal,17
2026-04-03 20:19:08,Normal,17
2026-04-03 20:19:08,Normal,17
2026-04-03 20:19:09,Normal,17
2026-04-03 20:19:09,Normal,17
2026-04-03 20:19:09,Normal,17
2026-04-03 20:19:09,Normal,17
2026-04-03 20:19:10,Normal,17
2026-04-03 20:19:10,Normal,17
2026-04-03 20:19:10,Normal,17
2026-04-03 20:19:10,Normal,17
2026-04-03 20:19:11,Normal,17
2026-04-03 20:19:11,Normal,17
2026-04-03 20:19:11,Normal,17
2026-04-03 20:19:12,Normal,17
2026-04-03 20:19:12,Normal,17
2026-04-03 20:19:12,Normal,17
2026-04-03 20:19:13,Normal,17
2026-04-03 20:19:13,Normal,17
2026-04-03 20:19:13,Normal,17
2026-04-03 20:19:13,Normal,17
2026-04-03 20:19:14,Normal,17
2026-04-03 20:19:14,Normal,17
2026-04-03 20:19:14,Normal,17
2026-04-03 20:19:14,Normal,17
